Title,AlbumTitle,TrackArtist,AlbumArtist,Genre,Year,Duration,PlayCount,TrackNumber,Path
Speed,Por Vida,Kali Uchis,Kali Uchis,(20),,0:0,0,8,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kali Uchis/Por Vida/1-08 Speed.mp3
Fell In Luv,Die Lit,Playboi Carti,Playboi Carti,Rap/Hip Hop,,0:0,0,10,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Playboi Carti/Die Lit/1-10 Fell In Luv.mp3
Crack Rock,channel ORANGE,Frank Ocean,Frank Ocean,Pop,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Frank Ocean/channel ORANGE/1-09 Crack Rock.mp3
Big Shot,Black Panther The Album Music From And Inspired By,"Kendrick Lamar, Travis Scott",Kendrick Lamar,Rap/Hip Hop,,0:0,0,13,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/Black Panther The Album Music From And I/13 Big Shot.mp3
Crazy In Love,Dangerously In Love,"Beyoncé, Jay-Z",Beyoncé,(13),,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Beyoncé/Dangerously In Love/1-01 Crazy In Love.mp3
Mask Off (Remix) [feat. Kendrick Lamar],Mask Off (Remix) [feat. Kendrick Lamar] - Single ,Future,Unknown Artist,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Future/Mask Off (Remix) [feat. Kendrick Lamar]/01 Mask Off (Remix) [feat. Kendrick.mp3
Banana Clip,War & Leisure,Miguel,Miguel,R&B,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Miguel/War & Leisure/1-04 Banana Clip.mp3
Tunnel Vision (Outro),Shoot For The Stars Aim For The Moon,Pop Smoke,Pop Smoke,Rap/Hip Hop,,0:0,0,18,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Pop Smoke/Shoot For The Stars Aim For The Moon/1-18 Tunnel Vision (Outro).mp3
booman,The Melodic Blue,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,13,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/The Melodic Blue/13 booman.mp3
So.Incredible.pkg,UNLOCKED,"Denzel Curry, Kenny Beats",Denzel Curry,Rap/Hip Hop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Denzel Curry/UNLOCKED/1-06 So.Incredible.pkg.mp3
745 sticky,1000 gecs,100 gecs,100 gecs,Alternative,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/100 gecs/1000 gecs/01 745 sticky.mp3
March of the Resistance,Star Wars: The Force Awakens (Original Motion Picture Soundtrack),John Williams,John Williams,Films/Games,,0:0,0,16,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/John Williams/Star Wars_ The Force Awakens (Original M/16 March of the Resistance.mp3
LOVE.,DAMN.,"Kendrick Lamar, Zacari",Kendrick Lamar,Rap/Hip Hop,,0:0,0,10,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/DAMN_/1-10 LOVE..mp3
Lyk Dis,Yes Lawd!,NxWorries/Anderson .Paak/Knxwledge,NxWorries/Anderson .Paak/Knxwledge,Rap/Hip Hop,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/NxWorries_Anderson .Paak_Knxwledge/Yes Lawd!/07 Lyk Dis.mp3
Fetti,Fetti,"Playboi Carti, Da$H, Maxo Kream",Playboi Carti,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Playboi Carti/Fetti/01 Fetti.mp3
Disciples,Currents,Tame Impala,Tame Impala,Alternative,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tame Impala/Currents/1-09 Disciples.mp3
Gangstas,Shoot For The Stars Aim For The Moon,Pop Smoke,Pop Smoke,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Pop Smoke/Shoot For The Stars Aim For The Moon/1-05 Gangstas.mp3
Say So,Hot Pink,Doja Cat,Doja Cat,R&B,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Doja Cat/Hot Pink/1-05 Say So.mp3
wokeuplikethis*,Playboi Carti,"Playboi Carti, Lil Uzi Vert",Playboi Carti,Rap/Hip Hop,,0:0,0,4,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Playboi Carti/Playboi Carti/1-04 wokeuplikethis_.mp3
ROCKSTAR P,DIE FOR MY BITCH,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,8,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/DIE FOR MY BITCH/1-08 ROCKSTAR P.mp3
4r Da Squaw,The Sun's Tirade,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/The Sun's Tirade/1-02 4r Da Squaw.mp3
Lockdown  (Video Edit),Lockdown (Remix Bundle),"Anderson .Paak, Jay Rock",Anderson .Paak,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Anderson .Paak/Lockdown (Remix Bundle)/1-05 Lockdown  (Video Edit).mp3
The Less I Know The Better,Currents,Tame Impala,Tame Impala,Alternative,,0:0,0,7,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tame Impala/Currents/1-07 The Less I Know The Better.mp3
Heavenly Father,Cilvia Demo,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,11,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/Cilvia Demo/1-11 Heavenly Father.mp3
Lost In Your Light (feat. Miguel),Dua Lipa (Deluxe),Dua Lipa/Miguel,Dua Lipa,Pop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Dua Lipa/Dua Lipa (Deluxe)/02 Lost In Your Light (feat. Miguel).mp3
Accepting My Flaws,High Off Life,Future,Future,Rap/Hip Hop,,0:0,0,16,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Future/High Off Life/1-16 Accepting My Flaws.mp3
STATS,DIE FOR MY BITCH,Baby Keem,Baby Keem,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Baby Keem/DIE FOR MY BITCH/1-01 STATS.mp3
On God,Unkwon Album,Kanye West,Unknown Artist,,,0:0,0,,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/Unknown Album/On God.mp3
Wednesday Night Interlude,If You're Reading This It's Too Late,"Drake, PARTYNEXTDOOR",Drake,Rap/Hip Hop,,0:0,0,10,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Drake/If You're Reading This It's Too Late/1-10 Wednesday Night Interlude.mp3
Laugh Now Cry Later,Laugh Now Cry Later,"Drake, Lil Durk",Drake,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Drake/Laugh Now Cry Later/1-01 Laugh Now Cry Later.mp3
151 Rum,DiCaprio 2,Unknown Artist,J.I.D ,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/J.I.D/DiCaprio 2/05 151 Rum.mp3
Hold My Liquor,Yeezus,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/Yeezus/1-05 Hold My Liquor.mp3
King Kunta,To Pimp A Butterfly,Kendrick Lamar,Kendrick Lamar,Rap/Hip Hop,,0:0,0,03,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kendrick Lamar/To Pimp A Butterfly/03 King Kunta.mp3
Hell N Back,Hell N Back,Bakar,Bakar,Alternative/Indie Pop/Indie Rock,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Bakar/Hell N Back/01 Hell N Back.mp3
Make Her Say (feat. Kanye West & Common) ,Man On The Moon: The End Of Day,Kid Cudi,Kid Cudi,Rap/Hip Hop,,0:0,0,12,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kid Cudi/Man On The Moon_ The End Of Day/12 Make Her Say (feat. Kanye West &.mp3
HOUSTONFORNICATION,ASTROWORLD,Travis Scott,Travis Scott,Rap/Hip Hop,,0:0,0,16,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Travis Scott/ASTROWORLD/16 HOUSTONFORNICATION.mp3
10%,BUBBA,"KAYTRANADA, Kali Uchis",KAYTRANADA,Electro,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/KAYTRANADA/BUBBA/1-06 10%.mp3
Supalonely,STELLA & STEVE,BENEE/Gus Dapperton,BENEE,Alternative,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/BENEE/STELLA & STEVE/1-02 Supalonely.mp3
Can't Tell Me Nothing,Graduation,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/Graduation/1-06 Can't Tell Me Nothing.mp3
RIP Young,The House Is Burning,Isaiah Rashad,Isaiah Rashad,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Isaiah Rashad/The House Is Burning/03 RIP Young.mp3
Tribe,Milky Way,"Bas, J. Cole",Bas,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Bas/Milky Way/03 Tribe.mp3
POWER,My Beautiful Dark Twisted Fantasy,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/My Beautiful Dark Twisted Fantasy/1-03 POWER.mp3
What's Free (feat. Rick Ross & Jay Z),Championships,Meek Mill ,Meek Mill ,Rap/Hip Hop,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Meek Mill/Championships/05 What's Free (feat. Rick Ross & Ja.mp3
The Blinding,A Written Testimony,"Jay Electronica, Travis Scott",Jay Electronica,Rap/Hip Hop,,0:0,0,3,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Jay Electronica/A Written Testimony/1-03 The Blinding.mp3
Blueberry Faygo,Blueberry Faygo,Lil Mosey,Lil Mosey,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Lil Mosey/Blueberry Faygo/1-01 Blueberry Faygo.mp3
LEMONHEAD (feat. 42 Dugg),CALL ME IF YOU GET LOST,"Tyler, The Creator","Tyler, The Creator",Rap/Hip Hop,,0:0,0,3,"/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Tyler, The Creator/CALL ME IF YOU GET LOST/03 LEMONHEAD (feat. 42 Dugg).mp3"
Gorgeous,My Beautiful Dark Twisted Fantasy,Kanye West,Kanye West,Rap/Hip Hop,,0:0,0,2,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Kanye West/My Beautiful Dark Twisted Fantasy/02 Gorgeous.mp3
Pop Shit,Pop Shit,"Reason,Schoolboy Q",Reason,Rap/Hip Hop,,0:0,0,1,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Reason/Pop Shit/1-01 Pop Shit.mp3
Renegade,Curtain Call,"Eminem,Jay-Z",Eminem,Rap/Hip Hop,,0:0,0,6,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Eminem/Curtain Call/2-06 Renegade.mp3
Mr. Right Now [ChopNotSlop Remix],SAVAGE MODE II [CHOPPED NOT SLOPPED],"21 Savage, Metro Boomin, Drake",21 Savage,Rap/Hip Hop,,0:0,0,11,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/21 Savage/SAVAGE MODE II [CHOPPED NOT SLOPPED]/1-11 Mr. Right Now [ChopNotSlop Remi.mp3
LOYAL (feat. Drake),PARTYMOBILE,"PARTYNEXTDOOR, Drake",PARTYNEXTDOOR,R&B,,0:0,0,5,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/PARTYNEXTDOOR/PARTYMOBILE/1-05 LOYAL (feat. Drake).mp3
Gimme! Gimme! Gimme! (A Man After Midnight),Voulez-Vous,ABBA,ABBA,Pop,,0:0,0,13,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/ABBA/Voulez-Vous/1-13 Gimme! Gimme! Gimme! (A Man Aft.mp3
Dragonball Durag,It Is What It Is,Thundercat,Thundercat,R&B,,0:0,0,9,/windows/Users/Anthony Tarbinian/iTunes/iTunes Media/Music/Thundercat/It Is What It Is/09 Dragonball Durag.mp3
